window_id,start_time,end_time,total_packets,total_bytes,avg_packet_size,avg_payload_size,packet_rate,small_packet_ratio,syn_count,ack_count,fin_count,label
342343,1698547276.907962,1698547277.407962,4,1284.0,321.0,255.0,8.0,0.0,0,4,0,0
342344,1698547277.407962,1698547277.907962,2,706.0,353.0,287.0,4.0,0.0,0,2,0,0
342347,1698547278.907962,1698547279.407962,4,1332.0,333.0,267.0,8.0,0.0,0,4,0,0
342348,1698547279.407962,1698547279.907962,2,674.0,337.0,271.0,4.0,0.0,0,2,0,0
342350,1698547280.407962,1698547280.907962,2,712.0,356.0,290.0,4.0,0.0,0,2,0,0
342351,1698547280.907962,1698547281.407962,2,708.0,354.0,288.0,4.0,0.0,0,2,0,0
342352,1698547281.407962,1698547281.907962,2,718.0,359.0,293.0,4.0,0.0,0,2,0,0
342354,1698547282.407962,1698547282.907962,4,1454.0,363.5,297.5,8.0,0.0,0,4,0,0
342357,1698547283.907962,1698547284.407962,4,1362.0,340.5,274.5,8.0,0.0,0,4,0,0
342359,1698547284.907962,1698547285.407962,2,664.0,332.0,266.0,4.0,0.0,0,2,0,0
342361,1698547285.907962,1698547286.407962,2,706.0,353.0,287.0,4.0,0.0,0,2,0,0
342364,1698547287.407962,1698547287.907962,2,722.0,361.0,295.0,4.0,0.0,0,2,0,0
342366,1698547288.407962,1698547288.907962,2,748.0,374.0,308.0,4.0,0.0,0,2,0,0
342368,1698547289.407962,1698547289.907962,2,692.0,346.0,280.0,4.0,0.0,0,2,0,0
342371,1698547290.907962,1698547291.407962,2,674.0,337.0,271.0,4.0,0.0,0,2,0,0
342373,1698547291.907962,1698547292.407962,4,1370.0,342.5,276.5,8.0,0.0,0,4,0,0
342374,1698547292.407962,1698547292.907962,2,772.0,386.0,320.0,4.0,0.0,0,2,0,0
342376,1698547293.407962,1698547293.907962,4,1344.0,336.0,270.0,8.0,0.0,0,4,0,0
342378,1698547294.407962,1698547294.907962,4,1402.0,350.5,284.5,8.0,0.0,0,4,0,0
